title,category,price,rating,in_stock
A Light in the Attic,Books,51.77,3,True
Tipping the Velvet,Books,53.74,1,True
Soumission,Books,50.1,1,True
Sharp Objects,Books,47.82,4,True
Sapiens: A Brief History of Humankind,Books,54.23,5,True
The Requiem Red,Books,22.65,1,True
The Dirty Little Secrets of Getting Your Dream Job,Books,33.34,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,17.93,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,22.6,4,True
The Black Maria,Books,52.15,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",Books,13.99,2,True
Shakespeare's Sonnets,Books,20.66,4,True
Set Me Free,Books,17.46,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,52.29,5,True
Rip it Up and Start Again,Books,35.02,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,57.25,3,True
Olio,Books,23.88,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,Books,37.59,1,True
Libertarianism for Beginners,Books,51.33,2,True
It's Only the Himalayas,Books,45.17,2,True
In Her Wake,Books,12.84,1,True
How Music Works,Books,37.32,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Books,30.52,3,True
Chase Me (Paris Nights #2),Books,25.27,5,True
Black Dust,Books,34.53,5,True
Birdsong: A Story in Pictures,Books,54.64,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books,22.5,3,True
Aladdin and His Wonderful Lamp,Books,53.13,3,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Books,40.3,5,True
Wall and Piece,Books,44.18,4,True
The Four Agreements: A Practical Guide to Personal Freedom,Books,17.66,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books,31.05,3,True
The Elephant Tree,Books,23.82,5,True
The Bear and the Piano,Books,36.89,1,True
Sophie's World,Books,15.94,5,True
Penny Maybe,Books,33.29,3,True
Maude (1883-1993):She Grew Up with the country,Books,18.02,2,True
"In a Dark, Dark Wood",Books,19.63,1,True
Behind Closed Doors,Books,52.22,4,True
You can't bury them all: Poems,Books,33.63,2,True
Slow States of Collapse: Poems,Books,57.31,3,True
Reasons to Stay Alive,Books,26.41,2,True
Private Paris (Private #10),Books,47.61,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Books,23.11,5,True
Without Borders (Wanderlove #1),Books,45.07,2,True
When We Collided,Books,31.77,1,True
"We Love You, Charlie Freeman",Books,50.27,5,True
Untitled Collection: Sabbath Poems 2014,Books,14.27,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Books,44.18,4,True
Unicorn Tracks,Books,18.78,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Books,25.52,1,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Books,16.28,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Books,31.12,3,True
This One Summer,Books,19.49,4,True
Thirst,Books,17.27,5,True
The Torch Is Passed: A Harding Family Story,Books,19.09,1,True
The Secret of Dreadwillow Carse,Books,56.13,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Books,56.41,1,True
The Past Never Ends,Books,56.5,4,True
The Natural History of Us (The Fine Art of Pretending #2),Books,45.22,3,True
The Nameless City (The Nameless City #1),Books,38.16,4,True
The Murder That Never Was (Forensic Instincts #5),Books,54.11,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Books,42.96,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Books,23.89,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Books,16.77,3,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books,20.59,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Books,37.13,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,Books,56.06,1,True
The Death of Humanity: and the Case for Life,Books,58.11,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Books,49.05,3,True
The Art Forger,Books,40.76,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Books,19.73,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Books,32.24,5,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Books,41.83,4,True
Soul Reader,Books,39.58,2,True
Security,Books,39.25,2,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",Books,25.02,3,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",Books,51.04,2,True
Reskilling America: Learning to Labor in the Twenty-First Century,Books,19.83,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Books,50.4,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Books,13.61,5,True
Princess Between Worlds (Wide-Awake Princess #5),Books,13.34,5,True
"Pop Gun War, Volume 1: Gift",Books,18.97,1,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Books,36.28,2,True
Patience,Books,10.16,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Books,15.44,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),Books,48.41,1,True
Online Marketing for Busy Authors: A Step-By-Step Guide,Books,46.35,1,True
On a Midnight Clear,Books,14.07,3,True
Obsidian (Lux #1),Books,14.86,2,True
My Paris Kitchen: Recipes and Stories,Books,33.37,2,True
Masks and Shadows,Books,56.4,2,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Books,14.02,4,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Books,46.91,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Books,45.61,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Books,19.92,2,True
"Layered: Baking, Building, and Styling Spectacular Cakes",Books,40.11,1,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Books,53.9,2,True
Join,Books,35.67,5,True
In the Country We Love: My Family Divided,Books,22.0,4,True
